event_id,x_reco_ml,y_reco_ml,z_reco_ml,nLinesU,nLinesV
334,-1566.2405860760832,-1484.4278691150903,11832.928709904316,2,2
335,753.8728204124457,-814.6240620910062,12026.421472237962,2,2
336,544.7313634773743,-2061.6459661899626,13904.795541550884,2,2
337,2215.351778424068,-1401.989778033305,11808.394512837596,2,2
338,1874.0471682306547,-2013.7276240059912,12719.133653244795,3,3
339,1327.7093632804654,-694.4813221408486,12287.098431071026,2,2
340,-104.6585782678303,-1433.8892322929148,15397.679656932829,2,2
341,429.892069244901,-1649.9700913047056,11749.994400365964,2,2
342,-736.0685088234707,-551.2263451129216,12242.200434680139,2,2
343,-2637.20148691386,-1194.9097550179756,12934.495677103896,2,2
344,1837.2513006975978,-626.4872782646083,13916.763956252857,2,2
345,1430.9036888747714,-1952.3457892729346,12252.511590537732,2,2
346,-257.90804047458647,-572.660097804968,12140.40689906894,2,3
347,285.6406959479998,-1069.345786183282,13678.342071150166,2,2
348,-1519.6496473036686,-1522.4862231902548,12270.17797374145,3,3
349,-2154.864495651125,-542.7811976231512,11929.690788738042,2,2
350,-377.3365529729966,-978.963625943525,11754.212636249375,2,2
351,2559.261885491907,-841.8264495088001,11907.487979373074,3,3
352,-310.54256549341085,-2034.1163738690113,14976.583429459364,2,2
353,-881.6982235673955,-2016.375581311492,15150.62079328098,2,2
354,-787.0485893169142,-1716.3382572886553,14623.377378478715,2,2
355,2317.5246001075316,-1650.6994300245235,15097.439896613425,2,2
356,699.115466000482,-1078.7952057384837,12760.4433467315,2,2
357,544.7313634773743,-1632.7926913040903,13505.30180197788,2,2
358,641.8640265880122,-962.8074353174854,16216.519095618934,5,4
359,-2615.6481612942807,-1543.3424332311768,12953.878972742534,2,2
360,-873.8299882559603,-1044.0255973164685,14101.421337620024,2,2
361,-2700.3682985805785,-1881.8968730144722,16405.56935246104,2,2
362,2574.9356206923385,-1064.2232852621266,12737.128699570605,2,3
363,466.18407480797873,-1522.3742432258982,15135.638449062275,3,5
364,-981.454469524801,-1515.2734378518426,12012.537310084776,3,3
365,2052.2455238266016,-932.3418368392748,13895.5794929018,2,3
366,572.8855828751882,-1385.5315972684587,14596.312879079758,4,3
367,-1917.5005908674145,-1632.4623764811495,15065.847869975414,2,4
368,1391.8808846116362,-1752.8394255044086,12641.870571529786,2,2
369,-2013.8383262297777,-536.7880579170256,13545.459034180463,2,2
370,-1097.9353901282068,-1131.4623931426056,13119.394843769776,4,3
371,678.0493296257033,-1930.1329023679114,14318.081668672243,3,2
