event_id,x_reco,y_reco,z_reco,multiplicity,mean_start_dist,mean_dca,max_dca,avg_length,avg_nhits,avg_energy,avg_dedx,max_opening_angle,mean_opening_angle,min_dist_to_true,label
49,2194.9221699284853,1486.4238070370402,11945.5,1,0.0,0.0,0.0,824.6819152832031,21.5,49.58228302001953,0.06012291781976634,0.0,0.0,1182.196800966932,0
49,1897.1251129881568,-1554.992782777259,13953.0,1,0.0,0.0,0.0,405.4847869873047,6.5,32.54052734375,0.08025092035023453,0.0,0.0,556.2931217663585,0
50,-267.346610385395,-1910.0775007055224,11725.5,1,0.0,0.0,0.0,1628.1631469726562,36.5,111.6512680053711,0.06857498784011366,0.0,0.0,1291.660477676722,0
50,-2603.412133252922,-3825.5056081366038,14993.0,1,0.0,0.0,0.0,1301.3062133789062,23.5,77.42184829711914,0.059495488072779934,0.0,0.0,457.58435819571383,0
51,-569.8152811434201,3481.6870130926836,14673.0,1,0.0,0.0,0.0,337.239013671875,6.5,9.584233283996582,0.028419705002819744,0.0,0.0,2828.62794219664,0
52,-571.7209370006913,2398.292335112914,13430.5,1,0.0,0.0,0.0,1526.9472045898438,24.5,85.15862655639648,0.05577051144952396,0.0,0.0,1925.6055831260117,0
52,-2361.436682340712,1359.8746907368459,12880.5,1,0.0,0.0,0.0,216.23865509033203,8.0,28.672236442565918,0.13259533283070185,0.0,0.0,1584.228174058713,0
53,1558.218924854146,4051.0812824611166,14113.0,1,0.0,0.0,0.0,762.4799194335938,14.5,30.350889205932617,0.039805493144630874,0.0,0.0,3364.2572238398634,0
53,1560.1945387576625,2279.1006176229566,14113.0,1,0.0,0.0,0.0,403.6244812011719,6.0,8.976878643035889,0.0222406693873499,0.0,0.0,1912.4841580213028,0
54,996.3165465773409,-74069.9337903142,12825.5,1,0.0,0.0,0.0,229.21428680419922,8.5,29.099424362182617,0.12695292587516632,0.0,0.0,66842.56103453567,0
54,2499.0114493860806,-1392.2533185966022,14673.0,1,0.0,0.0,0.0,751.0154418945312,12.5,28.91797924041748,0.03850517263329264,0.0,0.0,380.70099340472854,0
55,-2568.1149596587097,2111.783493467039,12220.5,1,0.0,0.0,0.0,134.87285995483398,6.0,10.866402626037598,0.08056774824584073,0.0,0.0,1705.1783225085503,0
55,-2530.637304317446,1137.2646561852307,12385.5,1,0.0,0.0,0.0,112.81667709350586,6.5,11.721892356872559,0.10390212386026138,0.0,0.0,929.0381092540164,0
56,1153.410279001178,-1844.3698213240277,12715.5,1,0.0,0.0,0.0,607.0839691162109,11.0,16.669097423553467,0.027457647165054014,0.0,0.0,569.6890603222708,0
56,1014.0598580588676,-3333.1850134364504,12935.5,1,0.0,0.0,0.0,166.39930725097656,6.5,7.254296541213989,0.043595713594363025,0.0,0.0,1449.3648075678784,0
57,-1717.9612063682025,3185.914298088026,13320.5,1,0.0,0.0,0.0,1190.591552734375,20.0,42.3373966217041,0.03555996724860832,0.0,0.0,2743.3374874338233,0
57,557.1608199090915,-80.61043699690163,12605.5,1,0.0,0.0,0.0,342.70289611816406,12.0,35.00179100036621,0.10213450600165802,0.0,0.0,926.6725173153416,0
58,-1582.2922120224312,-542.0806993375008,15473.0,1,0.0,0.0,0.0,723.6021728515625,12.5,38.132083892822266,0.05269758069209746,0.0,0.0,165.33918041640646,1
58,-1557.618785152308,-3828.7521390812763,15713.0,1,0.0,0.0,0.0,571.7532348632812,8.0,22.427793502807617,0.03922635174625745,0.0,0.0,1051.9061924431576,0
