pdg,label,length,nhits,dca,angle,dist_to_vtx,z_depth,start_z,end_z,straightness,total_energy,dedx,length_rank,is_longest,z_depth_rank
-211,pion,1690.0992,23,69.01690674134163,6.966104192549758,779.1802799095435,1375.0,12083.0,13458.0,3191.116549005071,43.819458,0.02592715,2,0,2
2112,other,2927.894,44,183.02644210932908,169.5335328840107,2217.783717722655,2910.0,11643.0,14553.0,63183.25556608173,83.58194,0.028546777,1,1,1
211,pion,1530.1816,23,183.02644210932854,6.761692797383462,2388.03505914537,1155.0,12138.0,13293.0,17166.26212835689,40.72913,0.026617186,2,0,2
13,muon,1306.7462,14,704.3799935167075,162.50484707740583,2241.212740388939,800.0,16393.0,17193.0,3484.4626227523213,50.00522,0.03826697,1,1,1
22,other,800.0,10,704.3799935167068,50.36460271528484,918.2152445072043,800.0,17113.0,17913.0,63.42094659564217,18.251505,0.022814382,2,0,2
13,muon,3731.8127,63,285.5385139372683,87.47461187211418,639.9488672698337,3460.0,11973.0,15433.0,431294.34226823103,95.66196,0.025634179,1,1,1
22,other,2819.468,46,285.53851393726814,79.22337249602303,156.09661399168237,2580.0,11973.0,14553.0,46129.013606832465,58.95449,0.020909792,2,0,2
13,muon,1996.659,29,1241.9669788617066,154.24736717371871,3009.647898973493,1665.0,13128.0,14793.0,9051.412149245258,109.78587,0.054984786,1,1,1
211,pion,1568.804,11,1241.9669788617066,61.33389037159765,1422.3055036767694,880.0,15833.0,16713.0,7314.862666914734,20.40657,0.013007725,2,0,2
-13,muon,1589.8002,20,87.66743979758036,127.09348443224927,369.583868100245,1520.0,14713.0,16233.0,113275.2328364426,28.26567,0.017779386,1,1,1
22,other,843.5983,13,87.66743979758033,16.019800662028413,245.2107996686576,720.0,14953.0,15673.0,825.010323254073,24.805807,0.029404761,2,0,2
13,muon,1763.9583,35,251.10790537312653,160.62789005626902,914.0237346369357,1595.0,11808.0,13403.0,10065.20190629463,121.26522,0.06874608,1,1,1
2212,proton,1069.5662,18,251.1079053731271,16.167850677497754,1209.1809449364334,825.0,11973.0,12798.0,8136.732287574946,77.09009,0.07207604,2,0,2
-211,pion,1188.4929,21,17.601462430501986,29.4790679763114,78.7529771217474,1140.0,12853.0,13993.0,569.3146712529581,42.933132,0.036124013,1,1,1
22,other,1076.5353,12,17.601462430502295,120.25260570202192,52.883501475590315,900.0,12853.0,13753.0,30011.781361382502,45.841003,0.04258198,2,0,2
13,muon,2707.4148,44,287.53666800148807,175.64258007469684,4178.6321411889,2630.0,12083.0,14713.0,8764.400754380853,120.33506,0.04444648,1,1,1
13,muon,836.7856,11,287.5366680014878,170.77578786047624,1664.8593309273465,560.0,17273.0,17833.0,1384.0278881344618,31.808224,0.038012393,2,0,2
13,muon,5062.3633,63,27.317597160651008,108.02823180787857,634.3171862310159,4895.0,13018.0,17913.0,77833.20065064484,161.78244,0.031957887,1,1,1
22,other,1169.0599,9,27.317597160651104,39.975354822055316,45.19904006710317,1125.0,13348.0,14473.0,285.3043125047222,28.33937,0.02424116,2,0,2
13,muon,2550.3843,40,76.97499694544275,23.31533338195418,164.34640278162553,2540.0,12413.0,14953.0,655.3459646956721,85.12498,0.033377316,1,1,1
